NOM_ENT,NOM_MUN,INGRESO_HOGAR_TRI,GASTO_MUN_TRI,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Hidalgo,Jaltocán,181583.0858,10321.87885,2.652921683,2.330409586,2.129519302,3.460440569,2.696414591
Hidalgo,Juárez Hidalgo,86747.34303,4931.0516,1.818210578,1.703210422,4.442997889,2.586394558,1.825552826
Hidalgo,Lolotla,145792.1226,8287.383271,2.471505631,2.032648163,1.113857678,3.333809864,2.440359897
Hidalgo,Metepec,151534.7407,8613.815703,2.152142615,1.941806238,1.24954109,2.616030388,2.097136331
Hidalgo,San Agustín Metzquititlán,168711.2024,9590.191647,2.367415249,1.961560951,2.05258602,2.801049869,2.260893471
Hidalgo,Metztitlán,144546.3683,8216.569821,2.410644927,2.032231323,1.435878613,2.849077692,2.295543143
Hidalgo,Mineral del Chico,185096.5283,10521.5964,2.099076975,1.734044347,2.252804345,2.592020592,1.950022648
Hidalgo,Mineral del Monte,224109.3272,12739.23348,2.119852845,1.879274875,8.101768955,2.514655199,2.171258344
Hidalgo,La Misión,65052.72895,3697.846551,2.238002421,1.986825443,0.724230254,3.089020772,2.191900542
Hidalgo,Mixquiahuala de Juárez,244634.7819,13905.97903,1.92194809,1.75665629,3.312049316,2.423648862,1.895095369
Hidalgo,Molango de Escamilla,182012.2748,10346.27561,1.986018118,1.64645946,2.133686413,2.603000698,1.923383259
Hidalgo,Nicolás Flores,142912.327,8123.684649,2.05900301,1.722250917,1.686193846,2.857142857,2.009760065
Hidalgo,Nopala de Villagrán,156554.2032,8899.141197,2.225394609,1.836159077,1.101945675,2.722203904,2.085467437
Hidalgo,Omitlán de Juárez,162696.1564,9248.273369,2.256886891,1.854428459,1.829396326,2.675987316,2.151969178
Hidalgo,San Felipe Orizatlán,114317.1748,6498.22655,2.771422178,2.590745607,1.112382799,3.360266853,2.795510464
Hidalgo,Pacula,77039.06629,4379.195925,2.183498132,1.831366231,0.59342077,2.863974495,2.081081081
Hidalgo,Pachuca de Soto,319821.6376,18179.8882,1.951208782,1.640061709,6.513130927,2.33100852,1.905457821
Hidalgo,Pisaflores,46654.27699,2652.007995,2.601323972,2.101269994,0.449754161,3.086799987,2.456417221
Hidalgo,Progreso de Obregón,263029.7058,14951.61703,1.891781435,1.681052912,5.292933141,2.364041505,1.853809037
Hidalgo,Mineral de la Reforma,333787.2664,18973.74809,1.829275354,1.580433675,6.410419721,2.222921282,1.827204699
Hidalgo,San Agustín Tlaxiaca,242572.4899,13788.75044,2.249067431,1.925452525,3.058978844,2.613066697,2.165904957
Hidalgo,San Bartolo Tutotepec,122458.4324,6961.006849,2.579162774,1.981687022,0.410223847,3.21666851,2.427210328
