NOM_ENT,NOM_MUN,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Chiapas,Arriaga,2.6735318728,2.2029974029,4.0541354853,3.0506018023,2.7115073354
Chiapas,Bejucal de Ocampo,2.2414065231,1.8433902928,0.6856169052,2.9284176534,2.2616766467
Chiapas,Bella Vista,2.2928406225,2.0067641135,3.4949798077,3.281683549,2.4255794816
Chiapas,Berriozábal,2.9131347089,2.2105965906,2.6264147254,3.1181047761,2.8943726306
Chiapas,Bochil,3.0478139675,2.0423823783,4.7943052882,3.5174547626,3.1987729786
Chiapas,El Bosque,2.7151806456,1.9760774535,1.3742660627,3.9890014472,2.8689589207
Chiapas,Cacahoatán,2.8835692397,2.08737381,3.4904963815,3.1637993956,2.9014223322
Chiapas,Catazajá,3.1091805908,2.6884988736,0.5136448109,3.5328825041,3.0895928074
Chiapas,Cintalapa,2.5617014396,2.045580795,2.2941324945,2.8478907163,2.5159183616
Chiapas,Coapilla,2.6860476425,2.1686659773,0.9650865158,3.5868704018,2.6676139593
Chiapas,Comitán de Domínguez,2.4826404883,1.8912369143,2.6922530252,2.6908123704,2.4056936857
Chiapas,La Concordia,2.8293888659,2.3862621722,0.4255312664,3.3109334414,2.7783430576
Chiapas,Copainalá,2.4968500163,2.0366652874,1.819892258,2.7844030106,2.453326443
Chiapas,Chalchihuitán,3.5885288309,3.0733763732,0.0089067331,4.5635680751,3.6517664377
Chiapas,Chamula,2.9700016415,2.7570010347,0.6342949577,3.8551436031,3.0421573296
Chiapas,Chanal,3.1571620589,2.555585635,0.080918781,4.1274298056,3.2237589528
Chiapas,Chapultenango,2.5952730944,2.33454973,3.418204182,3.4843478261,2.7150887054
Chiapas,Chenalhó,3.2379124539,2.667722161,0.2765548379,4.1274845052,3.2741106406
Chiapas,Chiapa de Corzo,2.6673959578,2.0319460969,5.3472086491,2.9528874407,2.6502995158
Chiapas,Chiapilla,2.5373106633,2.1215415978,2.4065752519,3.2407407407,2.544770206
Chiapas,Chicoasén,2.6426217573,2.1482995756,10.9527115782,3.1181061394,2.8065866592
Chiapas,Chicomuselo,2.7946312254,2.3718527519,0.5625584669,3.573967842,2.7685661059
Chiapas,Chilón,2.9328277015,2.4507557685,0.1233273138,3.6836300707,2.9569653283
Chiapas,Escuintla,2.6942525627,2.159666232,2.0994144837,3.0335567743,2.6743226793
Chiapas,Francisco León,2.90702818,2.3777443642,0.1642695995,3.7966537967,2.8628767532
Chiapas,Frontera Comalapa,2.8277680766,2.1645995318,1.1718992875,3.0820405687,2.7381068192
Chiapas,Frontera Hidalgo,2.8472204779,2.3818131612,2.7323156862,3.4193215951,2.9723154693
Chiapas,La Grandeza,1.7518189048,1.5119102273,2.1471128609,2.5458633094,1.7611111111
Chiapas,Huehuetán,2.8328119797,2.423283419,1.8974086119,3.3356209113,2.880218057
Chiapas,Huixtán,2.7023084464,2.1603410105,1.0410620291,3.3320824673,2.7479277605
Chiapas,Huitiupán,3.3222621058,2.483435609,0.6884025253,3.9042603897,3.3608085606
Chiapas,Huixtla,2.668371878,2.2390327554,3.6432110086,3.0028659214,2.7976722082
Chiapas,La Independencia,2.5746094807,2.0149440028,0.6415789933,2.9693182022,2.580840727
Chiapas,Ixhuatán,2.4966542459,2.1403359378,0.8598436628,3.3032166327,2.4722075164
Chiapas,Ixtacomitán,2.7122531648,2.2911800097,1.4350943944,2.9409414205,2.6606339241
Chiapas,Ixtapa,2.9516506761,2.4167277931,2.7883798095,3.2484460761,3.0344233279
Chiapas,Ixtapangajoya,2.9716065699,2.4891800846,0.2115006553,3.4489795918,2.8927292264
Chiapas,Jiquipilas,2.9099482552,2.2527922572,1.6752919884,3.1877371964,2.8334833187
Chiapas,Jitotol,2.8176655578,1.846996911,0.9707110052,3.295116644,2.8552393085
Chiapas,Juárez,2.6755927635,2.4286875,0.9695371757,3.0836503521,2.6739380982
Chiapas,Larráinzar,2.4915956061,2.1358403086,2.0646281689,3.3905042326,2.596584308
Chiapas,La Libertad,3.1033739121,2.406679751,0.3246427192,3.5518590998,2.8344419808
Chiapas,Mapastepec,2.8553647272,2.3836112261,1.5269904974,3.2506399052,2.8642575711
Chiapas,Las Margaritas,2.6622485602,1.9176080972,0.4481440595,3.4551716381,2.6608461253
Chiapas,Mazapa de Madero,2.0262847445,1.5043547604,1.5793005549,3.0429292929,2.0010463378
Chiapas,Mazatán,2.9756466253,2.6379253099,1.5202403703,3.5790160808,3.0370208123
Chiapas,Metapa,3.0329533144,2.2674525077,4.2643974557,3.4387504388,3.2222849083
Chiapas,Mitontic,2.6663488595,2.4829423876,0.3445745627,3.9266272189,3.0232119713
Chiapas,Motozintla,2.0452582101,1.7107562963,7.720040345,2.6478927603,2.0788076395
Chiapas,Nicolás Ruíz,2.9018538591,2.4650561646,0.7123667377,3.9298245614,2.9676103647
Chiapas,Ocosingo,2.9501429031,2.334026286,0.9476181094,3.6502856257,2.982594461
Chiapas,Ocotepec,2.9721575068,2.4512295049,0.7870796206,3.7401722201,2.9994439148
Chiapas,Ocozocoautla de Espinosa,2.7276664784,2.0823091038,3.5639052235,3.0993043268,2.7861718082
Chiapas,Ostuacán,2.8598304782,2.3777746531,0.6168371616,3.1182542512,2.771603974
Chiapas,Osumacinta,2.4552671143,1.6192680724,4.5680834818,3.0333863275,2.3995157385
Chiapas,Oxchuc,2.9470729071,2.415163273,0.607657183,3.7311630349,3.0370279096
Chiapas,Palenque,2.9901661761,2.4581251213,1.5203173847,3.1822637543,2.9536672414
Chiapas,Pantelhó,3.2147325925,2.7845122022,0.6980485335,4.0336925385,3.3171529504
Chiapas,Pantepec,2.8706367879,2.4998759615,0.2516568573,3.5092777442,2.8558040513
Chiapas,Pichucalco,2.6903063807,2.3151679285,1.8906163891,3.1025743145,2.6444670116
Chiapas,Pijijiapan,2.8650533264,2.5536775742,1.8115089458,3.2136343265,2.8912043219
Chiapas,El Porvenir,1.7576526695,1.3317494706,1.31089206,2.6657026998,1.7618927803
